#date: 08.10.2020	time: 16:31:37
#t (s)	f (Hz)	A1 (V)	A2 (V)	phase (deg)	|Z| (Ohm)	Arg Z (Ohm)	Re Z (Ohm)	Im Z (deg)15.53	1.0000E+4	3.7369	0.8886	+0.0	6.083E+1	-0.0	6.08E+1	-0.00E+0
15.75	2.0000E+4	3.7332	0.8846	-0.8	6.055E+1	+1.0	6.05E+1	1.11E+0
15.95	3.0000E+4	3.7417	0.8867	-1.3	6.056E+1	+1.7	6.05E+1	1.80E+0
16.13	4.0000E+4	3.7352	0.8857	-1.7	6.060E+1	+2.2	6.06E+1	2.36E+0
16.31	5.0000E+4	3.7364	0.8860	-2.0	6.060E+1	+2.6	6.05E+1	2.77E+0
16.50	6.0000E+4	3.7359	0.8870	-2.0	6.070E+1	+2.6	6.06E+1	2.78E+0
16.69	7.0000E+4	3.7342	0.8878	-1.4	6.082E+1	+1.8	6.08E+1	1.95E+0
16.88	8.0000E+4	3.7359	0.8880	-0.4	6.080E+1	+0.5	6.08E+1	5.57E-1
17.06	9.0000E+4	3.7407	0.8886	-2.1	6.073E+1	+2.8	6.07E+1	2.92E+0
17.24	1.0000E+5	3.7372	0.8893	-0.6	6.089E+1	+0.8	6.09E+1	8.37E-1
17.43	1.1000E+5	3.7437	0.8897	-2.0	6.077E+1	+2.6	6.07E+1	2.78E+0
17.63	1.2000E+5	3.7417	0.8901	-1.4	6.086E+1	+1.8	6.08E+1	1.95E+0
17.81	1.3000E+5	3.7458	0.8914	-0.3	6.089E+1	+0.4	6.09E+1	4.18E-1
17.99	1.4000E+5	3.7458	0.8915	-0.8	6.090E+1	+1.0	6.09E+1	1.12E+0
18.17	1.5000E+5	3.7427	0.8917	-1.5	6.098E+1	+2.0	6.09E+1	2.10E+0
18.36	1.6000E+5	3.7443	0.8928	-0.3	6.105E+1	+0.4	6.11E+1	4.20E-1
18.57	1.7000E+5	3.7471	0.8928	-0.3	6.099E+1	+0.4	6.10E+1	4.19E-1
18.76	1.8000E+5	3.7461	0.8929	-0.8	6.103E+1	+1.1	6.10E+1	1.12E+0
18.94	1.9000E+5	3.7495	0.8936	-1.5	6.101E+1	+2.0	6.10E+1	2.10E+0
19.14	2.0000E+5	3.7491	0.8941	-1.3	6.106E+1	+1.7	6.10E+1	1.82E+0
19.32	2.1000E+5	3.7437	0.8941	-0.6	6.118E+1	+0.8	6.12E+1	8.42E-1
19.52	2.2000E+5	3.7447	0.8941	-1.4	6.115E+1	+1.8	6.11E+1	1.96E+0
19.70	2.3000E+5	3.7481	0.8948	-1.4	6.114E+1	+1.8	6.11E+1	1.96E+0
19.91	2.4000E+5	3.7494	0.8956	-1.0	6.120E+1	+1.3	6.12E+1	1.40E+0
20.10	2.5000E+5	3.7508	0.8959	+0.3	6.119E+1	-0.4	6.12E+1	-4.21E-1
20.29	2.6000E+5	3.7474	0.8965	-2.0	6.130E+1	+2.6	6.12E+1	2.81E+0
20.49	2.7000E+5	3.7502	0.8965	-0.8	6.125E+1	+1.1	6.12E+1	1.12E+0
20.70	2.8000E+5	3.7485	0.8963	+0.8	6.128E+1	-1.1	6.13E+1	-1.12E+0
20.89	2.9000E+5	3.7479	0.8972	-0.3	6.137E+1	+0.4	6.14E+1	4.22E-1
21.07	3.0000E+5	3.7519	0.8984	+0.0	6.140E+1	-0.0	6.14E+1	-0.00E+0
21.27	3.1000E+5	3.7457	0.8975	-0.6	6.144E+1	+0.8	6.14E+1	8.46E-1
21.48	3.2000E+5	3.7450	0.8970	-0.8	6.142E+1	+1.1	6.14E+1	1.13E+0
21.67	3.3000E+5	3.7437	0.8979	-1.3	6.152E+1	+1.7	6.15E+1	1.84E+0
21.85	3.4000E+5	3.7506	0.8999	-1.4	6.155E+1	+1.8	6.15E+1	1.98E+0
22.08	3.5000E+5	3.7431	0.8989	+0.3	6.163E+1	-0.4	6.16E+1	-4.25E-1
22.28	3.6000E+5	3.7519	0.8999	-1.3	6.152E+1	+1.7	6.15E+1	1.84E+0
22.48	3.7000E+5	3.7440	0.8990	-1.3	6.161E+1	+1.7	6.16E+1	1.84E+0
22.68	3.8000E+5	3.7472	0.8986	-0.7	6.151E+1	+0.9	6.15E+1	9.88E-1
22.87	3.9000E+5	3.7504	0.8997	-1.0	6.154E+1	+1.3	6.15E+1	1.41E+0
23.08	4.0000E+5	3.7429	0.9000	-0.4	6.173E+1	+0.5	6.17E+1	5.67E-1
23.28	4.1000E+5	3.7605	0.9034	-1.4	6.165E+1	+1.8	6.16E+1	1.98E+0
23.50	4.2000E+5	3.7543	0.9026	+0.6	6.171E+1	-0.8	6.17E+1	-8.51E-1
23.68	4.3000E+5	3.7479	0.9016	-1.7	6.175E+1	+2.2	6.17E+1	2.41E+0
23.86	4.4000E+5	3.7395	0.9010	-0.8	6.189E+1	+1.1	6.19E+1	1.14E+0
24.08	4.5000E+5	3.7342	0.9006	-0.1	6.197E+1	+0.1	6.20E+1	1.43E-1
24.28	4.6000E+5	3.7356	0.9011	+1.3	6.199E+1	-1.7	6.20E+1	-1.85E+0
24.48	4.7000E+5	3.7368	0.9028	-0.6	6.212E+1	+0.8	6.21E+1	8.58E-1
24.68	4.8000E+5	3.7419	0.9026	+0.6	6.198E+1	-0.8	6.20E+1	-8.55E-1
24.86	4.9000E+5	3.7410	0.9037	-0.3	6.211E+1	+0.4	6.21E+1	4.29E-1
25.04	5.0000E+5	3.7441	0.9047	-0.3	6.213E+1	+0.4	6.21E+1	4.29E-1
25.24	5.1000E+5	3.7447	0.9055	-1.3	6.219E+1	+1.7	6.22E+1	1.86E+0
25.43	5.2000E+5	3.7496	0.9055	+0.3	6.208E+1	-0.4	6.21E+1	-4.29E-1
25.62	5.3000E+5	3.7468	0.9055	+0.0	6.215E+1	-0.0	6.21E+1	-0.00E+0
25.82	5.4000E+5	3.7454	0.9069	+0.6	6.230E+1	-0.8	6.23E+1	-8.61E-1
26.04	5.5000E+5	3.7451	0.9069	+0.0	6.231E+1	-0.0	6.23E+1	-0.00E+0
26.22	5.6000E+5	3.7427	0.9064	+0.8	6.231E+1	-1.1	6.23E+1	-1.15E+0
26.43	5.7000E+5	3.7417	0.9072	-1.1	6.241E+1	+1.5	6.24E+1	1.58E+0
26.64	5.8000E+5	3.7423	0.9083	-1.1	6.250E+1	+1.5	6.25E+1	1.58E+0
26.82	5.9000E+5	3.7430	0.9095	-2.1	6.257E+1	+2.8	6.25E+1	3.03E+0
27.02	6.0000E+5	3.7455	0.9083	-2.4	6.241E+1	+3.2	6.23E+1	3.45E+0
