x	y	yerr	z
0.203	212.46	19.72
0.200	215.86	20.03
0.208	242.40	19.28
0.203	248.62	19.78
0.207	209.20	19.41
0.283	204.31	13.75
0.266	217.66	14.65
0.286	177.38	13.65
0.269	215.82	14.53
0.273	212.95	14.33
0.522	139.57	8.26
0.524	153.34	8.25
0.519	141.10	8.35
0.521	126.83	8.34
0.520	141.55	8.37
0.684	107.97	6.39
0.687	129.43	6.38
0.682	119.91	6.45
0.680	120.65	6.49
0.685	120.17	6.46
0.762	118.28	5.83
0.754	109.96	5.91
0.752	100.59	5.95
0.757	110.32	5.93
0.754	111.15	5.98
0.856	98.30	4.81
0.855	107.79	4.84
0.851	99.67	4.88
0.852	99.95	4.89
0.854	100.11	4.90
1.092	64.38	3.98
1.072	73.23	4.08
1.100	71.72	3.99
1.098	72.21	4.02
1.082	66.27	4.10
